Column,Layer,TDC_id,TDC_Ch_id,T0[ns],TMax[ns],ADC_peak[ns],ADC_width[ns],Resolution[um],Efficiency
3,6,21,11,278.8699219879829,201.35419371203153,135.09094347379468,21.18562340880498,117.5537414641442,0.9928818776452482
3,7,21,8,282.9828487844607,203.81025164337592,185.90028173614363,26.855340009014583,109.74295039719011,0.9948349427352347
3,8,21,9,283.3761147574308,202.66038630300346,171.86423031640967,25.11573588820644,117.72491013481061,0.9917677642980935
4,1,20,14,287.87166922805403,191.02750640395124,154.5830677569454,24.305113650173325,115.09937750504051,0.9831381733021077
4,2,20,15,286.2709138279813,189.0870923751857,136.27849945735562,21.134159470269086,107.96622782559248,0.9880266075388027
4,3,20,12,287.3111666377609,190.2509356292868,148.41663091599867,22.745828412460654,109.85959318578658,0.9931058865122857
4,4,20,13,288.86429130625856,190.8969892279042,159.67285263769628,23.859882469417194,117.48102707471067,0.9907874152616026
4,5,21,14,281.6945645658237,201.2451929090745,152.32902602686283,22.9872509654015,115.67014441149658,0.9925873632192023
4,6,21,15,281.41231000446396,203.57022713682636,161.57158505879977,23.2142114293281,113.23928435171264,0.993795976247452
4,7,21,12,281.8887017631314,202.66138099371665,161.82476315519816,23.990646072617288,110.31585432381976,0.9925700133358735
4,8,21,13,279.6484628849209,202.60513543441704,134.66137159727685,20.84702259546747,111.54501574477908,0.9911393624193393
5,1,20,18,286.22296651941105,191.03837012312408,135.18769028748318,21.059430104058833,120.81295303327336,0.9838651523345953
5,2,20,19,284.1576953783743,189.7969826021906,129.06611584803582,20.118517727014428,115.09521650818543,0.9880106571936057
5,3,20,16,287.96205845685796,190.30585791067114,162.61059208546277,25.747291120798657,111.05070753563554,0.9920648915535178
5,4,20,17,283.5644280960884,190.7161373019888,125.6533005499841,20.801215261547227,120.15114330916153,0.991808332599313
5,5,21,18,278.2606308808061,203.84861332852364,138.44816648867968,21.646223164188363,105.7329168320738,0.9934758348356082
5,6,21,19,280.278348640889,202.69938916731815,147.71594990026418,22.85491580657674,105.4112717039051,0.9950025848698949
5,7,21,16,281.1738153312264,203.32378543398113,158.06635631546146,23.56034400188327,107.26385229262725,0.9933333333333333
5,8,21,17,279.9033699931605,203.0661675370418,143.52925133732376,21.79756693655444,108.83368038067826,0.99111619315683
6,1,22,2,289.415056687587,189.7380321113239,170.80784648556363,25.634586911225533,118.50426438415191,0.9799748563218391
6,2,22,3,289.03355517761804,188.61811777728445,167.01372561315534,24.521175714494085,108.11289233440895,0.9888509260924294
6,3,22,0,288.4096208512307,189.68941843843425,163.4982390722271,24.025318387244482,112.55431530361047,0.9927237661085299
6,4,22,1,287.27266236915267,190.60942293383465,150.9538759409619,22.275638672823362,114.08527455251553,0.9916210971952726
6,5,23,2,281.7525170743786,202.24310808871235,170.22402432436047,26.093155861619962,119.04801859009572,0.9928020565552699
6,6,23,3,279.3009248154522,201.00186172438333,153.16704807392622,24.15122390548694,104.36677285281962,0.993826631226957
6,7,23,0,277.09999495929765,203.0184300986603,140.1277773377489,21.987513119141205,101.85775874416947,0.9940747101760412
6,8,23,1,280.1138215744627,201.9535450798155,163.96697744404221,24.28158293578003,107.80614049488598,0.991085968972315
7,1,22,6,286.09771685202355,190.1914394537111,146.52684487990342,23.406387353877676,114.28664974370103,0.9827632885118671
7,2,22,7,288.9285423824842,187.42880107685494,168.87439454653787,23.185422903966174,104.48072718089655,0.9897135763057551
7,3,22,4,286.6212671669123,189.60579859505594,145.63227916274604,21.799717541800575,111.24285285506464,0.9920455572629485
7,4,22,5,287.22497937273107,189.82134985272268,150.3389645921551,23.113064201194277,111.90813425620144,0.992200107584723
7,5,23,6,279.3723043883869,202.24015977608218,147.20627444929457,22.97123667101057,107.74806212194686,0.9928778686362437
7,6,23,7,276.39635458653083,203.64781936738564,126.64045503002268,19.668547987541352,103.5323389969165,0.9929797191887676
7,7,23,4,277.9038665467368,203.93455401273786,146.7419392461336,24.187934197678445,101.23188428300001,0.9920945256715403
7,8,23,5,280.73929422804224,204.04917193161316,164.36357856726127,25.123572299568018,115.44649077339804,0.9891864057672503
8,1,22,10,285.76504918302754,190.9334778990057,145.80430950817316,23.879796572735398,109.18821014516095,0.9840042655291922
8,2,22,11,288.0112553510058,189.54495354975535,166.07400325108026,24.009070624823586,105.57824474805102,0.9896038716615881
8,3,22,8,287.83916163538686,189.79291733422463,164.86713575143244,26.404420110266273,110.95890463215608,0.9927823254995158
8,4,22,9,283.20397624024775,191.79589212969785,120.01415425577643,19.61529991815543,110.19083343413554,0.9942090023690445
8,5,23,10,280.134257381266,202.30887106919022,167.7486616694041,25.981148941750867,109.6782151227276,0.9923572348647488
8,6,23,11,278.1653903134749,202.59377055005046,135.39787226212295,21.873239625862023,107.02280798334897,0.9929734361610968
8,7,23,8,280.0061598100184,201.53183570252008,152.49237917613058,22.538044106729295,105.42938317716434,0.9937371310912835
8,8,23,9,278.3845550947213,203.52631531066794,134.98694145416613,21.073437191543768,114.40399117078421,0.9894261106847446
9,1,22,14,285.72169134006174,190.3558289522299,143.4725448789291,23.315101173998094,111.62921204790638,0.9838389310220296
